state,SA3_code,SA3_name,year_start,year_close,age,num_registered,num_fully_immunised,num_not_fully_immunised,percent_fully_immunised,Remoteness ,State,Latitude,Longitude
NSW,12201,Manly,2016,2017,1,620,581,39,93.7,Major Cities of Australia,New South Wales,-33.8002745,151.2699809
NSW,12202,Pittwater,2016,2017,1,703,641,62,91.2,Major Cities of Australia,New South Wales,-33.63981972,151.2792873
NSW,12203,Warringah,2016,2017,1,2005,1881,124,93.8,Major Cities of Australia,New South Wales,-33.71016756,151.2297683
NSW,12301,Camden,2016,2017,1,1030,994,36,96.5,Major Cities of Australia,New South Wales,-34.05526108,150.7197459
NSW,12302,Campbelltown (NSW),2016,2017,1,2534,2378,156,93.8,Major Cities of Australia,New South Wales,-34.07812055,150.853533
NSW,12303,Wollondilly,2016,2017,1,611,581,30,95.1,Inner Regional Australia,New South Wales,-34.14543777,150.612559
NSW,12401,Blue Mountains,2016,2017,1,802,739,63,92.1,Major Cities of Australia,New South Wales,-33.63700679,150.4257913
NSW,12402,Blue Mountains - South,2016,2017,1,NP,NP,NP,NP,Inner Regional Australia,New South Wales,-33.99348038,150.2879178
NSW,12403,Penrith,2016,2017,1,2277,2176,101,95.6,Major Cities of Australia,New South Wales,-33.811427,150.6787773
NSW,12404,Richmond - Windsor,2016,2017,1,531,502,29,94.5,Major Cities of Australia,New South Wales,-33.62395882,150.7465413
NSW,12405,St Marys,2016,2017,1,1011,943,68,93.3,Major Cities of Australia,New South Wales,-33.78424261,150.7859101
NSW,12501,Auburn,2016,2017,1,1490,1338,152,89.8,Major Cities of Australia,New South Wales,-33.85548659,151.0453144
NSW,12502,Carlingford,2016,2017,1,916,855,61,93.3,Major Cities of Australia,New South Wales,-33.79295974,151.046544
NSW,12503,Merrylands - Guildford,2016,2017,1,2786,2525,261,90.6,Major Cities of Australia,New South Wales,-33.84817212,150.9738073
NSW,12504,Parramatta,2016,2017,1,2333,2136,197,91.6,Major Cities of Australia,New South Wales,-33.79735304,150.992089
NSW,12601,Pennant Hills - Epping,2016,2017,1,451,417,34,92.5,Major Cities of Australia,New South Wales,-33.75419738,151.073704
NSW,12602,Ryde - Hunters Hill,2016,2017,1,1603,1502,101,93.7,Major Cities of Australia,New South Wales,-33.80294228,151.1135508
NSW,12701,Bringelly - Green Valley,2016,2017,1,1626,1544,82,95,Major Cities of Australia,New South Wales,-33.94706867,150.7472065
NSW,12702,Fairfield,2016,2017,1,2466,2243,223,91,Major Cities of Australia,New South Wales,-33.86210994,150.8693637
NSW,12703,Liverpool,2016,2017,1,2033,1891,142,93,Major Cities of Australia,New South Wales,-33.96871296,150.9306669
NSW,12801,Cronulla - Miranda - Caringbah,2016,2017,1,1435,1369,66,95.4,Major Cities of Australia,New South Wales,-34.03587441,151.144056
NSW,12802,Sutherland - Menai - Heathcote,2016,2017,1,1388,1338,50,96.4,Major Cities of Australia,New South Wales,-34.08451295,151.0443719
VIC,20101,Ballarat,2016,2017,1,1408,1340,68,95.2,Inner Regional Australia,Victoria,-37.56946813,143.8155597
VIC,20102,Creswick - Daylesford - Ballan,2016,2017,1,269,249,20,92.6,Inner Regional Australia,Victoria,-37.49156466,144.1052205
VIC,20103,Maryborough - Pyrenees,2016,2017,1,246,237,9,96.3,Inner Regional Australia,Victoria,-37.29234216,143.5080136
VIC,20201,Bendigo,2016,2017,1,1172,1113,59,95,Inner Regional Australia,Victoria,-36.7458619,144.2889256
VIC,20202,Heathcote - Castlemaine - Kyneton,2016,2017,1,472,443,29,93.9,Inner Regional Australia,Victoria,-37.01213684,144.3530442
VIC,20203,Loddon - Elmore,2016,2017,1,110,103,7,93.6,Inner Regional Australia,Victoria,-36.38213378,143.9531985
VIC,20301,Barwon - West,2016,2017,1,225,219,6,97.3,Inner Regional Australia,Victoria,-38.06160395,143.99357
VIC,20302,Geelong,2016,2017,1,2504,2369,135,94.6,Major Cities of Australia,Victoria,-38.01887586,144.3656491
