postcode,tax_individuals,medicare_levy_surcharge_num,govt_allow_payments_num,govt_pensions_allow_num,private_health_num
4009,97,0,2,3,54
4010,"1,974",29,152,53,"1,228"
4011,"10,136",124,534,330,"7,395"
4012,"14,208",224,878,451,"9,342"
4013,"3,081",31,208,101,"1,878"
4014,"7,446",98,468,329,"4,546"
4017,"21,539",279,"1,423","1,041","12,598"
4018,"7,069",92,487,367,"3,680"
4019,"10,872",166,"1,174",750,"5,172"
4020,"12,541",173,988,"1,012","6,897"
4021,"4,761",61,547,355,"1,915"
4022,"3,338",39,320,280,"1,382"
4025,118,1,11,6,64
4030,"10,472",149,770,248,"6,715"
4031,"8,303",148,546,271,"5,665"
4032,"9,536",128,691,562,"5,464"
4034,"26,882",332,"1,739","1,601","16,042"
4035,"15,592",148,601,708,"11,900"
4036,"3,847",48,307,192,"1,958"
4037,"4,972",58,158,153,"3,705"
4051,"17,506",222,"1,155",537,"12,121"
4053,"27,074",345,"1,720","1,337","18,094"
4054,"8,315",89,554,502,"5,204"
4055,"12,694",123,582,544,"9,135"
4059,"7,416",110,760,147,"4,791"
4060,"8,317",99,432,217,"6,585"
4061,"10,419",111,473,476,"8,269"
4064,"7,657",135,568,120,"5,583"
4065,"6,034",73,295,187,"4,953"
4066,"10,930",165,951,266,"7,571"
4067,"5,035",51,470,111,"3,441"
4068,"14,872",167,"1,174",447,"10,755"
4069,"21,777",252,859,894,"18,095"
4070,"7,038",89,330,306,"5,266"
4073,"5,571",57,215,230,"4,333"
4074,"15,412",164,806,780,"10,951"
4075,"14,285",172,870,585,"10,247"
4076,"2,695",24,315,110,"1,057"
4077,"13,578",116,"2,071",746,"4,046"
4078,"14,254",141,"1,056",629,"7,189"
4101,"14,929",322,"1,255",308,"8,806"
4102,"4,666",71,547,87,"2,420"
4103,"9,093",141,"1,052",247,"5,262"
4104,"4,139",62,329,173,"2,899"
4105,"8,303",119,688,294,"5,193"
4106,987,16,136,26,366
4107,"3,865",60,343,160,"2,095"
4108,"3,430",42,306,122,"1,458"
4109,"23,059",149,"1,631",976,"11,574"
4110,"5,686",55,642,261,"2,184"
4111,636,5,69,29,361
4112,"4,492",59,294,142,"2,560"
4113,"18,663",169,"1,149",664,"9,362"
4114,"11,938",82,"2,196",680,"2,078"
4115,"11,572",111,694,471,"6,538"
4116,"15,081",167,915,461,"8,366"
4117,765,11,51,36,302
4118,"17,362",189,"1,490",750,"6,712"
