"postcode","total_tax","num_individuals","mean_tax","year"
2444,1161340357,24386,47624,"2015"
2445,152452548,3391,44958,"2015"
2446,287396712,6604,43519,"2015"
2447,136419612,3540,38537,"2015"
2448,158016154,3851,41033,"2015"
2449,33117601,928,35688,"2015"
2450,1117667720,23451,47660,"2015"
2452,333921273,7659,43599,"2015"
2453,51429559,1486,34610,"2015"
2454,165011744,3969,41576,"2015"
2455,65576980,1536,42694,"2015"
2456,337211180,8224,41004,"2015"
2460,556775258,13497,41252,"2015"
2462,39211781,1038,37777,"2015"
2463,138828473,3521,39429,"2015"
2464,135854390,3409,39852,"2015"
2465,7564771,200,37824,"2015"
2466,22834496,653,34969,"2015"
2469,55622545,1661,33488,"2015"
2470,278114748,6939,40080,"2015"
2471,40262788,1130,35631,"2015"
2472,40821741,1028,39710,"2015"
2473,60405030,1402,43085,"2015"
2474,115006838,3101,37088,"2015"
2475,5797585,178,32571,"2015"
2476,11349381,327,34708,"2015"
2477,296870139,6733,44092,"2015"
2478,757769100,16043,47234,"2015"
2479,162394726,3090,52555,"2015"
2480,1011064712,23594,42853,"2015"
2481,412549591,8366,49313,"2015"
2482,147390145,3725,39568,"2015"
2483,245569342,5952,41259,"2015"
2484,396906192,9526,41666,"2015"
2485,304175810,6978,43591,"2015"
2486,723818314,16028,45160,"2015"
2487,378923559,6916,54790,"2015"
2488,85994424,1928,44603,"2015"
2489,168463209,3596,46848,"2015"
2490,17886362,369,48473,"2015"
2500,1119136747,20608,54306,"2015"
2502,211495771,4789,44163,"2015"
2505,117954393,2333,50560,"2015"
2506,166325023,3470,47933,"2015"
2508,328359097,5301,61943,"2015"
2515,480705585,6826,70423,"2015"
2516,225185865,3410,66037,"2015"
2517,428467644,7271,58929,"2015"
2518,518600734,9870,52544,"2015"
2519,507459167,8951,56694,"2015"
2525,358563156,6310,56825,"2015"
2526,493928592,8735,56546,"2015"
2527,583980957,11439,51052,"2015"
2528,516138798,10828,47668,"2015"
2529,757911314,13827,54814,"2015"
2530,829009500,16336,50748,"2015"
2533,523264424,9391,55720,"2015"
2534,176932521,3270,54108,"2015"
2535,206412276,4099,50357,"2015"
2536,377031401,8851,42598,"2015"
2537,265127344,6256,42380,"2015"
2538,56869295,1263,45028,"2015"
2539,361390204,9065,39867,"2015"
2540,949961622,20901,45451,"2015"
2541,575630011,12498,46058,"2015"
2545,24036057,595,40397,"2015"
2546,182227660,4698,38789,"2015"
2548,191990801,4425,43388,"2015"
2549,95463348,2141,44589,"2015"
2550,388544576,8901,43652,"2015"
2551,80800426,1846,43771,"2015"
2555,6613266,149,44385,"2015"
2556,80000704,1427,56063,"2015"
2557,217820433,3913,55666,"2015"
2558,308246242,6214,49606,"2015"
2559,34481631,853,40424,"2015"
2560,1928804449,38574,50003,"2015"
2563,8393288,162,51811,"2015"
2564,287915062,6385,45093,"2015"
2565,580386165,10291,56398,"2015"
2566,679818294,13937,48778,"2015"
2567,1265592189,21574,58663,"2015"
2568,40874363,698,58560,"2015"
2569,47920099,851,56311,"2015"
2570,1275167213,21391,59613,"2015"
2571,395942835,6606,59937,"2015"
2572,131489381,2328,56482,"2015"
2573,129571539,2576,50300,"2015"
2574,163594083,3135,52184,"2015"
2575,461140309,8540,53998,"2015"
2576,520787041,8248,63142,"2015"
2577,453634823,8454,53660,"2015"
2578,66934477,1520,44036,"2015"
2579,101933268,2139,47655,"2015"
2580,755884580,15240,49599,"2015"
2581,61905463,1179,52507,"2015"
2582,429889526,7244,59345,"2015"
2583,105811428,2490,42495,"2015"
2584,13228934,294,44997,"2015"
2585,8044234,144,55863,"2015"
2586,57681672,1359,42445,"2015"
2587,64415449,1445,44579,"2015"
2588,12588633,206,61110,"2015"
2590,172973884,3790,45640,"2015"
2594,271544873,6002,45243,"2015"
2600,565588274,5592,101143,"2015"
2601,181544596,2792,65024,"2015"
2602,1303424567,19096,68257,"2015"
2603,706236866,6305,112013,"2015"
2604,623073392,7464,83478,"2015"
2605,594014107,7384,80447,"2015"
2606,418067925,6119,68323,"2015"
2607,642523502,9132,70360,"2015"
2609,38882739,629,61817,"2015"
2611,1115368764,16330,68302,"2015"
2612,707928503,9728,72773,"2015"
2614,811112276,12212,66420,"2015"
2615,1589310139,26897,59089,"2015"
2617,1190699581,19761,60256,"2015"
2618,61847100,858,72083,"2015"
2619,465040120,5937,78330,"2015"
2620,1413520810,22991,61482,"2015"
2621,257650347,3754,68634,"2015"
2622,97919940,2121,46167,"2015"
2623,17294651,341,50718,"2015"
2624,1873425,55,34063,"2015"
2625,8553193,211,40537,"2015"
2626,14365703,275,52239,"2015"
2627,130705003,2724,47983,"2015"
2628,44188295,1037,42612,"2015"
2629,10818378,286,37827,"2015"
2630,235061974,4886,48110,"2015"
2631,16502196,337,48968,"2015"
2632,50307837,1088,46239,"2015"
2633,9590675,219,43794,"2015"
2640,1125362744,20515,54856,"2015"
