postcode,tax_individuals,medicare_levy_surcharge_num,govt_allow_payments_num,govt_pensions_allow_num,private_health_num
2663,"2,199 ",14 ,133 ,158 ,"1,256 "
2665,"1,215 ",6 ,93 ,109 ,857 
2666,"2,967 ",19 ,196 ,230 ,"1,925 "
2668,213 ,7 ,28 ,25 ,134 
2669,977 ,8 ,78 ,78 ,678 
2671,"2,204 ",13 ,141 ,173 ,"1,423 "
2672,815 ,16 ,72 ,66 ,478 
2675,962 ,8 ,54 ,59 ,552 
2680,"13,726 ",97 ,"1,158 ",779 ,"7,968 "
2681,935 ,0 ,70 ,62 ,612 
2700,"2,527 ",22 ,230 ,214 ,"1,334 "
2701,"1,278 ",2 ,84 ,73 ,840 
2702,363 ,4 ,18 ,32 ,209 
2703,405 ,2 ,50 ,37 ,204 
2705,"5,560 ",27 ,500 ,381 ,"3,063 "
2706,626 ,1 ,57 ,56 ,284 
2707,884 ,15 ,55 ,55 ,631 
2710,"5,919 ",27 ,539 ,583 ,"3,653 "
2711,"1,921 ",16 ,168 ,124 ,"1,004 "
2712,763 ,10 ,50 ,88 ,487 
2713,"1,613 ",14 ,148 ,148 ,"1,023 "
2714,"1,407 ",9 ,114 ,155 ,789 
2715,774 ,7 ,52 ,39 ,405 
2716,695 ,4 ,50 ,42 ,469 
2717,577 ,4 ,68 ,77 ,325 
2720,"4,304 ",47 ,324 ,304 ,"2,603 "
2721,120 ,1 ,13 ,7 ,84 
2722,"1,727 ",15 ,136 ,127 ,983 
2725,152 ,1 ,6 ,14 ,91 
2726,158 ,0 ,6 ,9 ,107 
2727,215 ,1 ,14 ,9 ,165 
2729,891 ,6 ,66 ,47 ,596 
2730,786 ,7 ,55 ,55 ,352 
2731,"3,352 ",40 ,241 ,286 ,"1,768 "
2732,"1,028 ",12 ,77 ,100 ,593 
2733,351 ,2 ,22 ,23 ,200 
2734,91 ,0 ,6 ,6 ,60 
2735,168 ,0 ,21 ,14 ,48 
2736,216 ,1 ,14 ,24 ,109 
2737,394 ,3 ,25 ,22 ,175 
2738,818 ,7 ,48 ,40 ,554 
2739,652 ,0 ,67 ,56 ,347 
2745,"16,930 ",217 ,720 ,527 ,"10,388 "
2747,"21,461 ",217 ,"1,711 ","1,062 ","9,415 "
2748,"1,408 ",19 ,61 ,56 ,954 
2749,"9,564 ",105 ,574 ,368 ,"5,049 "
2750,"24,321 ",239 ,"1,803 ","1,549 ","13,043 "
2752,"2,968 ",21 ,108 ,113 ,"1,723 "
2753,"9,528 ",133 ,589 ,529 ,"5,201 "
2754,"3,177 ",31 ,208 ,217 ,"1,793 "
2756,"19,734 ",197 ,"1,161 ",837 ,"10,985 "
2757,590 ,4 ,41 ,40 ,392 
2758,"5,354 ",78 ,221 ,226 ,"3,561 "
2759,"15,943 ",157 ,928 ,532 ,"7,608 "
2760,"15,918 ",138 ,"1,648 ",839 ,"5,153 "
2761,"16,244 ",148 ,"1,259 ",493 ,"6,059 "
2762,"2,412 ",15 ,103 ,81 ,"1,484 "
2763,"17,714 ",157 ,"1,026 ",562 ,"9,967 "
2765,"8,247 ",65 ,462 ,395 ,"4,841 "
2766,"7,964 ",62 ,606 ,320 ,"2,833 "
2767,"11,763 ",115 ,975 ,422 ,"4,925 "
2768,"15,377 ",132 ,734 ,380 ,"9,887 "
2769,"5,921 ",92 ,193 ,99 ,"4,018 "
2770,"25,651 ",189 ,"3,392 ","1,462 ","6,084 "
2773,"3,742 ",43 ,171 ,227 ,"2,798 "
2774,"7,714 ",82 ,456 ,426 ,"5,245 "
2775,760 ,5 ,51 ,54 ,412 
2776,"2,423 ",34 ,152 ,173 ,"1,551 "
2777,"10,518 ",122 ,599 ,715 ,"7,079 "
2778,"1,425 ",27 ,108 ,82 ,884 
2779,"2,769 ",28 ,232 ,174 ,"1,506 "
2780,"7,157 ",105 ,791 ,627 ,"3,466 "
2782,"3,326 ",62 ,235 ,316 ,"1,958 "
2783,"1,496 ",15 ,145 ,95 ,722 
2784,698 ,6 ,55 ,60 ,384 
2785,"2,591 ",30 ,198 ,223 ,"1,551 "
2786,646 ,3 ,60 ,47 ,362 
2787,"2,349 ",36 ,166 ,172 ,"1,290 "
2790,"7,240 ",92 ,709 ,577 ,"4,536 "
2791,173 ,2 ,21 ,18 ,106 
2792,203 ,2 ,14 ,10 ,119 
2793,439 ,5 ,55 ,37 ,253 
2794,"5,397 ",41 ,536 ,549 ,"2,836 "
2795,"21,916 ",339 ,"1,919 ","1,404 ","12,723 "
2797,213 ,1 ,21 ,19 ,120 
2798,"1,213 ",19 ,62 ,74 ,849 
2799,"2,090 ",20 ,184 ,128 ,"1,124 "
2800,"24,060 ",287 ,"1,810 ","1,563 ","14,233 "
2803,162 ,0 ,13 ,12 ,99 
2804,"1,339 ",9 ,123 ,120 ,820 
2805,217 ,3 ,20 ,18 ,112 
2806,461 ,9 ,31 ,47 ,264 
2807,162 ,0 ,25 ,11 ,72 
2808,65 ,0 ,9 ,7 ,30 
2809,112 ,0 ,14 ,8 ,75 
2810,"1,634 ",13 ,134 ,182 ,"1,089 "
2818,357 ,1 ,24 ,25 ,212 
2820,"3,058 ",37 ,347 ,305 ,"1,412 "
2821,"2,534 ",19 ,218 ,207 ,"1,495 "
2823,781 ,2 ,83 ,61 ,453 
2824,"1,224 ",6 ,101 ,77 ,819 
2825,"1,356 ",21 ,113 ,86 ,777 
2826,85 ,0 ,10 ,3 ,67 
2827,"1,876 ",17 ,184 ,166 ,"1,013 "
2828,369 ,2 ,40 ,28 ,237 
2829,"1,453 ",21 ,137 ,70 ,837 
2830,"22,357 ",236 ,"1,693 ","1,436 ","12,851 "
2831,"1,593 ",13 ,127 ,111 ,976 
2832,"1,218 ",10 ,191 ,82 ,625 
2833,244 ,1 ,47 ,19 ,134 
2834,863 ,3 ,191 ,108 ,353 
2835,"2,258 ",85 ,135 ,120 ,"1,466 "
2836,297 ,3 ,36 ,20 ,127 
2839,462 ,8 ,60 ,35 ,225 
2840,"1,348 ",13 ,136 ,94 ,732 
2842,281 ,4 ,40 ,24 ,172 
2843,690 ,1 ,64 ,53 ,389 
2844,693 ,5 ,61 ,72 ,458 
2845,999 ,10 ,111 ,67 ,599 
2846,134 ,0 ,21 ,13 ,77 
2847,"1,055 ",18 ,123 ,76 ,628 
2848,533 ,6 ,86 ,46 ,252 
2849,776 ,8 ,47 ,89 ,514 
2850,"9,208 ",107 ,776 ,642 ,"5,717 "
2852,"1,663 ",31 ,146 ,108 ,964 
2864,487 ,5 ,36 ,32 ,309 
2865,466 ,5 ,42 ,30 ,264 
2866,"1,597 ",15 ,89 ,105 ,958 
2867,325 ,0 ,19 ,38 ,208 
2868,313 ,4 ,25 ,20 ,186 
2869,678 ,6 ,69 ,69 ,367 
2870,"6,258 ",55 ,565 ,383 ,"3,505 "
2871,"4,717 ",34 ,409 ,331 ,"2,624 "
2873,376 ,3 ,15 ,27 ,263 
2874,244 ,2 ,24 ,17 ,164 
2875,486 ,8 ,52 ,48 ,285 
2876,246 ,0 ,24 ,16 ,163 
2877,"2,003 ",25 ,192 ,155 ,964 
2878,176 ,7 ,6 ,4 ,116 
2879,246 ,7 ,36 ,23 ,98 
2880,"8,926 ",131 ,994 ,589 ,"4,991 "
2898,293 ,4 ,11 ,17 ,148 
2899,149 ,1 ,0 ,4 ,59 
NSW other,"25,215 ",498 ,561 ,631 ,"8,880 "
800,"5,579 ",153 ,193 ,36 ,"1,874 "
801,"1,100 ",26 ,38 ,30 ,663 
804,299 ,9 ,11 ,5 ,212 
810,"20,792 ",516 ,"1,173 ",628 ,"11,380 "
811,555 ,8 ,22 ,24 ,382 
812,"11,640 ",276 ,655 ,420 ,"6,769 "
813,165 ,4 ,7 ,7 ,114 
814,283 ,6 ,10 ,9 ,185 
820,"13,388 ",402 ,534 ,256 ,"7,637 "
821,794 ,22 ,25 ,30 ,493 
822,"5,134 ",92 ,"1,381 ",227 ,"1,318 "
828,698 ,16 ,40 ,15 ,390 
829,160 ,3 ,8 ,1 ,43 
830,"11,196 ",320 ,689 ,330 ,"5,782 "
831,"1,427 ",42 ,57 ,39 ,923 
832,"7,976 ",282 ,334 ,183 ,"4,556 "
834,372 ,16 ,25 ,12 ,242 
835,"3,325 ",114 ,104 ,92 ,"2,188 "
836,"4,678 ",149 ,203 ,148 ,"2,789 "
837,660 ,31 ,38 ,34 ,342 
838,439 ,12 ,37 ,17 ,238 
839,784 ,47 ,53 ,28 ,451 
840,144 ,8 ,12 ,10 ,74 
841,320 ,13 ,27 ,16 ,155 
845,388 ,8 ,35 ,21 ,167 
846,204 ,4 ,19 ,15 ,92 
847,171 ,2 ,27 ,10 ,58 
850,"3,715 ",53 ,332 ,114 ,"1,577 "
851,"1,250 ",25 ,46 ,36 ,645 
852,"1,692 ",31 ,461 ,87 ,367 
853,396 ,3 ,3 ,0 ,116 
854,422 ,8 ,131 ,14 ,83 
860,827 ,30 ,73 ,25 ,295 
861,664 ,14 ,120 ,21 ,176 
862,209 ,2 ,40 ,11 ,56 
870,"13,409 ",355 ,968 ,392 ,"6,173 "
871,"2,390 ",72 ,149 ,108 ,"1,110 "
872,"3,520 ",49 ,"1,112 ",185 ,642 
880,633 ,16 ,81 ,13 ,271 
881,"1,738 ",55 ,138 ,34 ,862 
885,600 ,33 ,32 ,7 ,389 
886,808 ,23 ,75 ,14 ,405 
NT other,433 ,10 ,52 ,22 ,197 
4000,"11,990 ",206 ,556 ,129 ,"5,338 "
4005,"12,006 ",286 ,680 ,245 ,"8,402 "
4006,"9,711 ",181 ,792 ,128 ,"5,401 "
4007,"8,415 ",202 ,392 ,214 ,"6,179 "
4008,251 ,6 ,27 ,13 ,130 
4009,107 ,1 ,4 ,3 ,57 
4010,"1,822 ",23 ,135 ,52 ,"1,109 "
4011,"10,147 ",111 ,532 ,332 ,"7,327 "
4012,"13,664 ",156 ,858 ,482 ,"8,928 "
4013,"3,014 ",32 ,242 ,98 ,"1,814 "
4014,"7,240 ",93 ,479 ,332 ,"4,321 "
4017,"21,132 ",284 ,"1,382 ","1,058 ","12,319 "
4018,"6,539 ",64 ,483 ,370 ,"3,403 "
4019,"10,615 ",135 ,"1,066 ",768 ,"4,966 "
4020,"12,296 ",169 ,997 ,931 ,"6,742 "
4021,"4,842 ",51 ,500 ,357 ,"1,948 "
4022,"3,295 ",35 ,301 ,276 ,"1,373 "
4025,108 ,1 ,5 ,4 ,53 
4029,94 ,18 ,2 ,2 ,31 
4030,"9,865 ",117 ,691 ,253 ,"6,279 "
4031,"8,043 ",112 ,510 ,275 ,"5,518 "
4032,"9,156 ",112 ,701 ,560 ,"5,248 "
4034,"26,573 ",263 ,"1,716 ","1,654 ","15,870 "
4035,"15,385 ",151 ,592 ,718 ,"11,704 "
4036,"3,855 ",43 ,311 ,195 ,"1,993 "
4037,"4,920 ",45 ,151 ,161 ,"3,613 "
4051,"17,432 ",203 ,"1,192 ",547 ,"11,966 "
4053,"26,561 ",253 ,"1,723 ","1,355 ","17,858 "
4054,"8,409 ",65 ,539 ,536 ,"5,191 "
4055,"12,496 ",87 ,582 ,587 ,"9,029 "
4059,"7,377 ",117 ,714 ,154 ,"4,750 "
4060,"8,241 ",70 ,487 ,226 ,"6,553 "
4061,"10,308 ",107 ,436 ,514 ,"8,156 "
4064,"7,562 ",155 ,561 ,118 ,"5,382 "
4065,"5,903 ",82 ,330 ,204 ,"4,830 "
4066,"11,053 ",134 ,984 ,261 ,"7,537 "
4067,"5,001 ",42 ,476 ,123 ,"3,455 "
4068,"14,713 ",161 ,"1,244 ",438 ,"10,656 "
4069,"21,659 ",232 ,887 ,929 ,"17,942 "
4070,"6,931 ",79 ,320 ,294 ,"5,187 "
4073,"5,516 ",69 ,219 ,215 ,"4,262 "
4074,"15,409 ",157 ,824 ,757 ,"11,045 "
4075,"13,882 ",144 ,770 ,574 ,"9,965 "
4076,"2,635 ",26 ,318 ,118 ,"1,015 "
4077,"12,869 ",78 ,"1,891 ",722 ,"3,840 "
4078,"13,966 ",121 ,"1,039 ",609 ,"7,059 "
4101,"14,078 ",255 ,"1,260 ",283 ,"8,246 "
4102,"4,246 ",60 ,468 ,100 ,"2,200 "
4103,"8,723 ",133 ,"1,034 ",254 ,"5,016 "
4104,"4,012 ",45 ,310 ,174 ,"2,852 "
4105,"8,166 ",87 ,674 ,288 ,"5,105 "
4106,936 ,15 ,113 ,28 ,357 
4107,"3,822 ",51 ,320 ,168 ,"1,993 "
4108,"3,215 ",37 ,287 ,115 ,"1,382 "
4109,"22,735 ",145 ,"1,532 ","1,023 ","11,510 "
4110,"5,367 ",49 ,575 ,236 ,"2,085 "
4111,644 ,6 ,82 ,24 ,354 
4112,"4,336 ",48 ,266 ,141 ,"2,520 "
4113,"18,247 ",156 ,"1,171 ",661 ,"9,256 "
4114,"11,603 ",65 ,"2,086 ",690 ,"2,161 "
4115,"11,340 ",102 ,690 ,456 ,"6,531 "
4116,"14,814 ",119 ,904 ,472 ,"8,138 "
4117,769 ,8 ,49 ,28 ,297 
4118,"17,128 ",162 ,"1,339 ",714 ,"6,678 "
4119,"3,780 ",38 ,259 ,162 ,"1,985 "
4120,"6,006 ",71 ,544 ,155 ,"3,569 "
4121,"15,072 ",161 ,894 ,627 ,"10,795 "
4122,"26,855 ",326 ,"1,857 ","1,377 ","16,161 "
4123,"10,616 ",106 ,654 ,521 ,"6,220 "
4124,"10,274 ",146 ,747 ,439 ,"4,622 "
4125,"3,898 ",51 ,244 ,222 ,"1,915 "
4127,"14,741 ",138 ,"1,271 ",815 ,"7,013 "
4128,"9,927 ",112 ,627 ,445 ,"5,391 "
4129,"3,930 ",48 ,319 ,191 ,"1,671 "
4130,"5,265 ",73 ,252 ,268 ,"3,303 "
4131,"4,913 ",47 ,632 ,245 ,"1,491 "
4132,"11,824 ",111 ,"1,538 ",600 ,"2,441 "
4133,"8,564 ",90 ,803 ,537 ,"2,927 "
4151,"11,079 ",107 ,729 ,350 ,"7,462 "
4152,"28,124 ",314 ,"1,524 ","1,207 ","20,460 "
4153,"2,750 ",29 ,138 ,88 ,"2,005 "
4154,"6,338 ",82 ,223 ,193 ,"4,805 "
4155,980 ,13 ,29 ,26 ,752 
4156,"2,019 ",23 ,98 ,79 ,"1,581 "
4157,"11,515 ",123 ,788 ,551 ,"6,516 "
4158,"2,133 ",28 ,175 ,123 ,"1,173 "
4159,"8,517 ",92 ,500 ,485 ,"5,377 "
4160,"11,148 ",149 ,554 ,610 ,"7,608 "
4161,"9,539 ",90 ,684 ,501 ,"5,028 "
4163,"9,219 ",122 ,522 ,642 ,"5,859 "
4164,"8,289 ",77 ,389 ,358 ,"5,476 "
4165,"20,854 ",252 ,"1,161 ","1,244 ","12,339 "
4169,"9,318 ",165 ,664 ,203 ,"5,701 "
4170,"15,565 ",267 ,922 ,445 ,"10,284 "
4171,"10,335 ",209 ,456 ,257 ,"7,892 "
4172,"2,711 ",26 ,156 ,72 ,"1,634 "
4173,"5,028 ",52 ,340 ,262 ,"2,912 "
4174,"1,590 ",25 ,122 ,60 ,808 
4178,"14,320 ",200 ,"1,020 ",782 ,"8,262 "
4179,"11,235 ",151 ,695 ,606 ,"7,340 "
4183,"1,213 ",17 ,110 ,89 ,588 
4184,"2,470 ",33 ,443 ,391 ,939 
4205,"2,251 ",19 ,245 ,221 ,790 
4207,"27,352 ",350 ,"2,687 ","1,670 ","10,431 "
4208,"10,670 ",150 ,707 ,427 ,"5,162 "
4209,"23,672 ",315 ,"2,051 ","1,036 ","10,007 "
4210,"11,104 ",165 ,843 ,496 ,"5,426 "
4211,"34,522 ",408 ,"3,108 ","2,046 ","15,868 "
4212,"16,435 ",236 ,"1,002 ",845 ,"9,922 "
4213,"16,953 ",172 ,"1,255 ",924 ,"9,419 "
4214,"21,632 ",260 ,"1,945 ","1,258 ","10,942 "
4215,"26,344 ",301 ,"3,442 ","1,690 ","10,694 "
4216,"21,184 ",266 ,"1,680 ","1,616 ","11,542 "
4217,"26,040 ",333 ,"1,999 ","1,363 ","13,067 "
4218,"20,853 ",276 ,"1,803 ","1,146 ","11,478 "
4219,243 ,4 ,16 ,15 ,117 
4220,"19,396 ",253 ,"1,779 ","1,185 ","10,952 "
4221,"15,556 ",195 ,"1,532 ",994 ,"8,327 "
4223,"8,449 ",104 ,740 ,574 ,"4,677 "
4224,"3,885 ",54 ,434 ,237 ,"1,988 "
4225,"4,641 ",69 ,539 ,317 ,"2,273 "
4226,"19,859 ",207 ,"1,624 ","1,407 ","10,851 "
4227,"11,505 ",141 ,"1,133 ",596 ,"5,825 "
4228,"3,287 ",48 ,249 ,156 ,"1,944 "
4230,341 ,4 ,14 ,17 ,149 
4270,"2,223 ",35 ,133 ,105 ,"1,113 "
4271,"1,090 ",6 ,81 ,88 ,580 
4272,"3,093 ",32 ,211 ,288 ,"1,793 "
4275,"1,968 ",27 ,147 ,100 ,951 
4280,"8,854 ",118 ,575 ,423 ,"3,834 "
4285,"9,770 ",117 ,895 ,638 ,"4,327 "
4287,358 ,4 ,35 ,19 ,152 
4300,"28,639 ",299 ,"2,359 ","1,115 ","12,900 "
4301,"13,127 ",94 ,"1,579 ",719 ,"3,870 "
4303,"1,439 ",13 ,220 ,120 ,355 
4304,"7,820 ",56 ,963 ,535 ,"3,141 "
4305,"30,882 ",263 ,"3,152 ","1,946 ","14,623 "
4306,"18,918 ",197 ,"1,145 ",897 ,"11,308 "
4307,886 ,3 ,60 ,50 ,500 
4309,"1,585 ",10 ,99 ,114 ,782 
4310,"3,114 ",25 ,180 ,232 ,"1,543 "
4311,"4,603 ",34 ,507 ,363 ,"1,751 "
4312,"1,202 ",20 ,129 ,100 ,512 
4313,984 ,9 ,88 ,84 ,444 
4340,"2,662 ",17 ,231 ,184 ,"1,285 "
4341,"6,736 ",73 ,668 ,505 ,"2,697 "
4342,"1,275 ",4 ,141 ,95 ,550 
4343,"6,471 ",43 ,442 ,341 ,"2,628 "
4344,"1,311 ",6 ,110 ,93 ,728 
4346,477 ,3 ,34 ,18 ,255 
4347,657 ,2 ,68 ,32 ,312 
4350,"58,271 ",400 ,"4,845 ","3,845 ","35,589 "
4352,"16,165 ",137 ,842 ,898 ,"11,303 "
4353,262 ,1 ,20 ,21 ,152 
4354,586 ,4 ,44 ,45 ,336 
4355,"1,256 ",4 ,113 ,142 ,659 
4356,"2,850 ",12 ,163 ,197 ,"1,799 "
4357,"1,491 ",6 ,120 ,93 ,799 
4358,"1,193 ",4 ,65 ,74 ,738 
4359,689 ,1 ,50 ,58 ,426 
4360,422 ,2 ,34 ,39 ,276 
4361,"1,348 ",9 ,124 ,133 ,820 
4362,"1,305 ",11 ,115 ,114 ,705 
4363,426 ,5 ,20 ,19 ,298 
4364,204 ,0 ,2 ,10 ,146 
4365,200 ,0 ,21 ,21 ,77 
4370,"9,562 ",48 ,956 ,797 ,"4,799 "
4371,442 ,2 ,24 ,34 ,255 
4372,81 ,1 ,7 ,6 ,53 
4373,567 ,1 ,65 ,59 ,293 
4374,214 ,2 ,18 ,25 ,128 
4375,129 ,0 ,12 ,14 ,61 
4376,178 ,1 ,23 ,7 ,51 
4377,351 ,3 ,37 ,33 ,156 
4378,171 ,0 ,16 ,13 ,76 
4380,"4,561 ",21 ,442 ,363 ,"2,086 "
4381,283 ,3 ,33 ,20 ,105 
4382,334 ,0 ,33 ,33 ,188 
4383,411 ,1 ,47 ,19 ,97 
4385,617 ,5 ,60 ,67 ,351 
4387,691 ,3 ,65 ,56 ,336 
4388,213 ,2 ,35 ,20 ,118 
4390,"4,286 ",20 ,320 ,262 ,"2,822 "
4400,"1,025 ",11 ,83 ,59 ,523 
4401,"3,012 ",14 ,217 ,206 ,"1,534 "
4402,122 ,2 ,12 ,10 ,52 
4403,442 ,3 ,33 ,23 ,295 
4404,320 ,1 ,14 ,12 ,243 
4405,"8,004 ",74 ,628 ,438 ,"4,764 "
4406,609 ,9 ,58 ,34 ,408 
4407,334 ,2 ,30 ,25 ,195 
4408,405 ,2 ,41 ,26 ,261 
4410,718 ,3 ,63 ,69 ,439 
4411,187 ,1 ,15 ,11 ,127 
4412,148 ,0 ,16 ,5 ,104 
4413,"4,217 ",86 ,273 ,200 ,"2,341 "
4415,"1,039 ",6 ,71 ,51 ,549 
4416,317 ,0 ,19 ,13 ,225 
4417,363 ,2 ,33 ,17 ,214 
4418,64 ,2 ,3 ,4 ,43 
4419,540 ,4 ,42 ,19 ,358 
4420,783 ,6 ,41 ,52 ,514 
4421,996 ,10 ,151 ,87 ,475 
4422,289 ,1 ,23 ,14 ,184 
4423,128 ,0 ,23 ,4 ,95 
4424,114 ,1 ,7 ,16 ,76 
4425,156 ,1 ,18 ,20 ,103 
4426,60 ,0 ,10 ,3 ,43 
4427,179 ,2 ,20 ,9 ,99 
4428,440 ,2 ,44 ,23 ,275 
4454,497 ,7 ,30 ,18 ,338 
4455,"5,312 ",112 ,301 ,206 ,"3,063 "
4462,51 ,0 ,5 ,2 ,26 
4465,775 ,6 ,117 ,43 ,397 
4467,103 ,1 ,13 ,8 ,62 
4468,208 ,2 ,27 ,18 ,118 
4470,"2,053 ",26 ,227 ,114 ,887 
4472,793 ,7 ,69 ,47 ,402 
4477,298 ,4 ,30 ,13 ,145 
4478,294 ,4 ,10 ,14 ,163 
4480,510 ,2 ,42 ,15 ,303 
4481,69 ,1 ,3 ,2 ,44 
4482,73 ,1 ,0 ,1 ,40 
4486,412 ,6 ,32 ,17 ,220 
4487,"1,885 ",12 ,151 ,80 ,"1,008 "
4488,150 ,0 ,10 ,11 ,100 
4489,54 ,0 ,14 ,8 ,25 
4490,711 ,4 ,109 ,37 ,367 
4491,52 ,0 ,4 ,8 ,33 
4492,157 ,2 ,5 ,1 ,71 
4494,81 ,0 ,12 ,2 ,58 
4496,187 ,4 ,21 ,5 ,121 
4497,201 ,0 ,12 ,9 ,149 
4498,122 ,0 ,10 ,0 ,92 
4500,"24,096 ",243 ,"1,649 ","1,062 ","13,406 "
4501,"3,023 ",35 ,297 ,175 ,"1,343 "
4502,"5,115 ",55 ,378 ,255 ,"2,754 "
4503,"22,747 ",257 ,"1,927 ","1,266 ","10,779 "
4504,"10,010 ",118 ,669 ,463 ,"5,159 "
4505,"10,776 ",119 ,834 ,588 ,"5,058 "
4506,"11,570 ",137 ,"1,267 ",679 ,"4,116 "
4507,"8,361 ",101 ,754 ,"1,136 ","4,298 "
4508,"8,900 ",95 ,"1,206 ",609 ,"2,929 "
4509,"15,293 ",191 ,947 ,719 ,"8,467 "
4510,"22,458 ",247 ,"2,906 ","1,644 ","7,376 "
4511,"4,206 ",54 ,418 ,418 ,"1,772 "
4512,"2,108 ",26 ,113 ,99 ,997 
4514,"3,371 ",48 ,286 ,217 ,"1,416 "
4515,"2,116 ",21 ,172 ,116 ,718 
4516,"2,372 ",38 ,159 ,92 ,"1,055 "
4517,411 ,9 ,31 ,36 ,187 
4518,"2,764 ",30 ,232 ,182 ,"1,279 "
4519,"4,322 ",52 ,445 ,337 ,"1,814 "
4520,"8,021 ",83 ,291 ,320 ,"6,169 "
4521,"2,718 ",37 ,119 ,120 ,"1,770 "
4550,"2,339 ",31 ,263 ,149 ,946 
4551,"29,837 ",344 ,"2,602 ","2,515 ","16,373 "
4552,"4,938 ",41 ,429 ,545 ,"2,752 "
4553,"3,374 ",55 ,275 ,169 ,"1,799 "
4554,"1,157 ",14 ,116 ,56 ,609 
4555,"3,997 ",43 ,322 ,277 ,"2,161 "
4556,"24,777 ",293 ,"2,101 ","1,819 ","15,174 "
4557,"11,370 ",162 ,"1,127 ",598 ,"6,101 "
4558,"11,775 ",146 ,"1,254 ",866 ,"5,778 "
4559,"3,570 ",39 ,310 ,226 ,"2,003 "
4560,"16,680 ",214 ,"1,734 ","1,310 ","8,033 "
4561,"4,267 ",57 ,385 ,263 ,"2,211 "
4562,"4,765 ",47 ,424 ,264 ,"2,621 "
4563,"4,835 ",49 ,420 ,373 ,"2,536 "
4564,"6,435 ",78 ,625 ,469 ,"3,415 "
4565,"7,847 ",80 ,764 ,705 ,"3,698 "
4566,"5,290 ",81 ,345 ,450 ,"3,223 "
4567,"7,735 ",99 ,598 ,458 ,"4,390 "
4568,"2,059 ",17 ,218 ,160 ,984 
4569,856 ,12 ,115 ,54 ,360 
4570,"19,953 ",236 ,"2,555 ","1,536 ","8,589 "
4571,404 ,3 ,41 ,20 ,186 
4572,"2,504 ",50 ,208 ,137 ,"1,432 "
4573,"14,694 ",191 ,"1,283 ",894 ,"8,306 "
4574,668 ,6 ,64 ,50 ,298 
4575,"14,350 ",215 ,"1,184 ","1,007 ","8,381 "
4580,"1,760 ",13 ,230 ,257 ,716 
4581,702 ,7 ,68 ,59 ,330 
4600,379 ,4 ,41 ,27 ,160 
4601,574 ,2 ,72 ,51 ,271 
4605,"1,833 ",8 ,238 ,190 ,674 
4606,"1,149 ",10 ,112 ,133 ,444 
4608,426 ,3 ,46 ,54 ,204 
4610,"7,288 ",74 ,761 ,558 ,"3,722 "
4611,68 ,0 ,12 ,14 ,31 
4612,160 ,1 ,13 ,18 ,82 
4613,322 ,2 ,44 ,38 ,141 
4614,461 ,3 ,64 ,58 ,164 
4615,"2,899 ",32 ,371 ,251 ,"1,144 "
4620,210 ,1 ,27 ,18 ,120 
4621,779 ,11 ,75 ,89 ,374 
4625,"1,707 ",6 ,143 ,97 ,726 
4626,"1,285 ",4 ,104 ,83 ,545 
4627,372 ,5 ,40 ,18 ,203 
4630,"1,329 ",14 ,136 ,128 ,716 
4650,"14,852 ",120 ,"1,864 ","1,193 ","6,394 "
4655,"26,770 ",366 ,"3,507 ","2,765 ","11,650 "
4659,"1,831 ",22 ,257 ,246 ,767 
4660,"3,527 ",42 ,462 ,367 ,"1,620 "
4662,293 ,5 ,47 ,33 ,87 
4670,"39,372 ",347 ,"4,602 ","2,991 ","20,679 "
4671,"2,660 ",21 ,434 ,271 ,"1,214 "
4673,361 ,1 ,48 ,30 ,148 
4674,621 ,12 ,94 ,38 ,283 
4676,101 ,1 ,9 ,9 ,40 
4677,"1,887 ",46 ,180 ,99 ,930 
4678,492 ,15 ,24 ,25 ,333 
4680,"32,535 ","1,589 ","2,084 ","1,133 ","21,849 "
4694,167 ,9 ,9 ,6 ,103 
4695,582 ,34 ,44 ,26 ,351 
4697,92 ,1 ,6 ,6 ,62 
4699,225 ,2 ,18 ,15 ,131 
4700,"9,026 ",132 ,872 ,504 ,"5,363 "
4701,"23,180 ",280 ,"2,187 ","1,173 ","13,050 "
4702,"14,974 ",214 ,"1,197 ",735 ,"9,160 "
4703,"12,253 ",250 ,975 ,698 ,"7,660 "
4704,91 ,1 ,4 ,2 ,49 
4705,249 ,2 ,9 ,3 ,180 
4707,135 ,6 ,11 ,17 ,71 
4709,538 ,22 ,9 ,2 ,450 
4710,"2,301 ",41 ,225 ,151 ,"1,201 "
4711,"1,007 ",17 ,33 ,35 ,767 
4712,235 ,4 ,14 ,13 ,150 
4713,200 ,4 ,76 ,20 ,20 
4714,"1,063 ",17 ,170 ,95 ,330 
4715,"4,264 ",87 ,248 ,170 ,"2,645 "
4716,502 ,15 ,27 ,25 ,352 
4717,"2,544 ",105 ,142 ,37 ,"1,812 "
4718,"1,319 ",24 ,76 ,47 ,921 
4719,624 ,4 ,35 ,34 ,415 
4720,"8,746 ",187 ,447 ,205 ,"5,836 "
4721,"2,050 ",40 ,84 ,53 ,"1,505 "
4722,"1,109 ",17 ,30 ,41 ,769 
4723,870 ,19 ,27 ,24 ,575 
4724,417 ,5 ,16 ,16 ,301 
4725,880 ,7 ,61 ,57 ,452 
4726,226 ,1 ,17 ,9 ,106 
4727,176 ,2 ,11 ,8 ,96 
4728,115 ,2 ,10 ,4 ,66 
4730,"2,086 ",24 ,139 ,102 ,"1,170 "
