postcode,electorate,2016_score,2015_score,2014_score,2013_score,2012_score,2011_score
2287,Newcastle,4,4,4,4,4.2,4.2
2289,Charlton,0,4,4,4,4.2,4.2
2289,Newcastle,4,4,4,4,4.2,4.2
2289,Shortland,4,4,4,4,4.2,4.2
2290,Charlton,0,4,4,4,4.2,4.2
2290,Newcastle,4,4,4,4,4.2,4.2
2290,Shortland,4,4,4,4,4.2,4.2
2291,Newcastle,4,4,4,4,4.2,4.2
2292,Newcastle,4,4,4,4,4.2,4.2
2293,Newcastle,4,4,4,4,4.2,4.2
2294,Newcastle,4,4,4,4,4.2,4.2
2295,Newcastle,4,4,4,4,4.2,4.2
2295,Paterson,4,6.5,6.5,6.5,6.3,6.3
2296,Newcastle,4,4,4,4,4.2,4.2
2297,Newcastle,4,4,4,4,4.2,4.2
2298,Newcastle,4,4,4,4,4.2,4.2
2299,Newcastle,4,4,4,4,4.2,4.2
2300,Newcastle,4,4,4,4,4.2,4.2
2302,Newcastle,4,4,4,4,4.2,4.2
2303,Newcastle,4,4,4,4,4.2,4.2
2304,Newcastle,4,4,4,4,4.2,4.2
2305,Charlton,0,4,4,4,4.2,4.2
2305,Newcastle,4,4,4,4,4.2,4.2
2306,Shortland,4,4,4,4,4.2,4.2
2307,Newcastle,4,4,4,4,4.2,4.2
2308,Newcastle,4,4,4,4,4.2,4.2
2311,Paterson,4,6.5,6.5,6.5,6.3,6.3
2312,Lyne,6.3,6.2,6.2,6.2,5,5
2312,Paterson,4,6.5,6.5,6.5,6.3,6.3
2314,Paterson,4,6.5,6.5,6.5,6.3,6.3
2315,Paterson,4,6.5,6.5,6.5,6.3,6.3
2316,Paterson,4,6.5,6.5,6.5,6.3,6.3
2317,Paterson,4,6.5,6.5,6.5,6.3,6.3
2318,Paterson,4,6.5,6.5,6.5,6.3,6.3
2319,Paterson,4,6.5,6.5,6.5,6.3,6.3
2320,Hunter,4,4,4,4,4.2,4.2
2321,Hunter,4,4,4,4,4.2,4.2
2321,Paterson,4,6.5,6.5,6.5,6.3,6.3
2322,Hunter,4,4,4,4,4.2,4.2
2322,Newcastle,4,4,4,4,4.2,4.2
2322,Paterson,4,6.5,6.5,6.5,6.3,6.3
2323,Hunter,4,4,4,4,4.2,4.2
2323,Paterson,4,6.5,6.5,6.5,6.3,6.3
2324,Paterson,4,6.5,6.5,6.5,6.3,6.3
2325,Hunter,4,4,4,4,4.2,4.2
2326,Hunter,4,4,4,4,4.2,4.2
2327,Hunter,4,4,4,4,4.2,4.2
2328,Hunter,4,4,4,4,4.2,4.2
2329,Gwydir,0,0,0,0,0,0
2330,Hunter,4,4,4,4,4.2,4.2
2331,Hunter,4,4,4,4,4.2,4.2
2333,Hunter,4,4,4,4,4.2,4.2
2334,Hunter,4,4,4,4,4.2,4.2
2335,Hunter,4,4,4,4,4.2,4.2
2336,Gwydir,0,0,0,0,0,0
2337,Gwydir,0,0,0,0,0,0
2338,Gwydir,0,0,0,0,0,0
2339,Gwydir,0,0,0,0,0,0
2340,Gwydir,0,0,0,0,0,0
2340,New England,6.3,6.2,6.2,6.2,5,5
2341,New England,6.3,6.2,6.2,6.2,5,5
2342,New England,6.3,6.2,6.2,6.2,5,5
2343,Gwydir,0,0,0,0,0,0
2344,New England,6.3,6.2,6.2,6.2,5,5
2345,New England,6.3,6.2,6.2,6.2,5,5
2346,New England,6.3,6.2,6.2,6.2,5,5
2347,New England,6.3,6.2,6.2,6.2,5,5
2350,New England,6.3,6.2,6.2,6.2,5,5
2351,New England,6.3,6.2,6.2,6.2,5,5
2352,New England,6.3,6.2,6.2,6.2,5,5
2353,New England,6.3,6.2,6.2,6.2,5,5
2354,New England,6.3,6.2,6.2,6.2,5,5
2355,New England,6.3,6.2,6.2,6.2,5,5
2356,Gwydir,0,0,0,0,0,0
2357,Gwydir,0,0,0,0,0,0
2358,New England,6.3,6.2,6.2,6.2,5,5
2359,New England,6.3,6.2,6.2,6.2,5,5
2360,New England,6.3,6.2,6.2,6.2,5,5
2361,New England,6.3,6.2,6.2,6.2,5,5
2365,New England,6.3,6.2,6.2,6.2,5,5
2369,New England,6.3,6.2,6.2,6.2,5,5
2370,New England,6.3,6.2,6.2,6.2,5,5
2371,New England,6.3,6.2,6.2,6.2,5,5
2372,New England,6.3,6.2,6.2,6.2,5,5
2379,Gwydir,0,0,0,0,0,0
2380,Gwydir,0,0,0,0,0,0
2381,Gwydir,0,0,0,0,0,0
2382,Gwydir,0,0,0,0,0,0
2386,Gwydir,0,0,0,0,0,0
2387,Gwydir,0,0,0,0,0,0
2388,Gwydir,0,0,0,0,0,0
2390,Gwydir,0,0,0,0,0,0
2390,New England,6.3,6.2,6.2,6.2,5,5
2395,Gwydir,0,0,0,0,0,0
2396,Gwydir,0,0,0,0,0,0
2397,Gwydir,0,0,0,0,0,0
2398,Gwydir,0,0,0,0,0,0
2399,Gwydir,0,0,0,0,0,0
2400,Gwydir,0,0,0,0,0,0
2401,Gwydir,0,0,0,0,0,0
2402,Gwydir,0,0,0,0,0,0
